grpp19@j6:~/FindKNN-MPI$ mpirun -np 4 knn-mpi 128 400000 300 1024
Discrepância encontrada no índice 0: calculado=399571, esperado=327950
Discrepância encontrada no índice 1: calculado=399248, esperado=345536
Discrepância encontrada no índice 2: calculado=84633, esperado=321212
Discrepância encontrada no índice 3: calculado=317198, esperado=197949
Discrepância encontrada no índice 4: calculado=398989, esperado=291369
Discrepância encontrada no índice 5: calculado=399571, esperado=327950
Discrepância encontrada no índice 6: calculado=399248, esperado=345536
Discrepância encontrada no índice 7: calculado=84633, esperado=321212
Discrepância encontrada no índice 8: calculado=317198, esperado=197949
Discrepância encontrada no índice 9: calculado=398989, esperado=291369
Discrepância encontrada no índice 10: calculado=399571, esperado=327950
Discrepância encontrada no índice 11: calculado=399248, esperado=345536
Discrepância encontrada no índice 12: calculado=84633, esperado=321212
Discrepância encontrada no índice 13: calculado=317198, esperado=197949
Discrepância encontrada no índice 14: calculado=398989, esperado=291369
Discrepância encontrada no índice 15: calculado=399571, esperado=327950
Discrepância encontrada no índice 16: calculado=399248, esperado=345536
Discrepância encontrada no índice 17: calculado=84633, esperado=321212
Discrepância encontrada no índice 18: calculado=317198, esperado=197949
Discrepância encontrada no índice 19: calculado=398989, esperado=291369
Discrepância encontrada no índice 20: calculado=399571, esperado=327950
Discrepância encontrada no índice 21: calculado=399248, esperado=345536
Discrepância encontrada no índice 22: calculado=84633, esperado=321212
Discrepância encontrada no índice 23: calculado=317198, esperado=197949
Discrepância encontrada no índice 24: calculado=398989, esperado=291369
Discrepância encontrada no índice 25: calculado=399571, esperado=327950
Discrepância encontrada no índice 26: calculado=399248, esperado=345536
Discrepância encontrada no índice 27: calculado=84633, esperado=321212
Discrepância encontrada no índice 28: calculado=317198, esperado=197949
Discrepância encontrada no índice 29: calculado=398989, esperado=291369
Discrepância encontrada no índice 30: calculado=399571, esperado=327950
Discrepância encontrada no índice 31: calculado=399248, esperado=345536
Discrepância encontrada no índice 32: calculado=84633, esperado=321212
Discrepância encontrada no índice 33: calculado=317198, esperado=197949
Discrepância encontrada no índice 34: calculado=398989, esperado=291369
Discrepância encontrada no índice 35: calculado=399571, esperado=327950
Discrepância encontrada no índice 36: calculado=399248, esperado=345536
Discrepância encontrada no índice 37: calculado=84633, esperado=321212
Discrepância encontrada no índice 38: calculado=317198, esperado=197949
Discrepância encontrada no índice 39: calculado=398989, esperado=291369
Discrepância encontrada no índice 40: calculado=399571, esperado=327950
Discrepância encontrada no índice 41: calculado=399248, esperado=345536
Discrepância encontrada no índice 42: calculado=84633, esperado=321212
Discrepância encontrada no índice 43: calculado=317198, esperado=197949
Discrepância encontrada no índice 44: calculado=398989, esperado=291369
Discrepância encontrada no índice 45: calculado=399571, esperado=327950
Discrepância encontrada no índice 46: calculado=399248, esperado=345536
Discrepância encontrada no índice 47: calculado=84633, esperado=321212
Discrepância encontrada no índice 48: calculado=317198, esperado=197949
